BlockHeight,Time,TxID,Type,Address,Amount_BTC
200000,2012-09-22 14:45:59,dbaf14e1c476e76ea05a8b71921a46d6b06f0a950f17c5f9f1a03b8fae467f10,COINBASE,New_Coins,0
200000,2012-09-22 14:45:59,dbaf14e1c476e76ea05a8b71921a46d6b06f0a950f17c5f9f1a03b8fae467f10,OUTPUT,Non-standard,50.635175
200000,2012-09-22 14:45:59,ee475443f1fbfff84ffba43ba092a70d291df233bd1428f3d09f7bd1a6054a1f,INPUT,1CfD77hupeUvFwBPxZ2fA8iyWmVwQY22oh,102.12
200000,2012-09-22 14:45:59,ee475443f1fbfff84ffba43ba092a70d291df233bd1428f3d09f7bd1a6054a1f,OUTPUT,1FhNPRh1TxVidoKkWFEpdmK5RXw9vG1KUb,55.86
200000,2012-09-22 14:45:59,ee475443f1fbfff84ffba43ba092a70d291df233bd1428f3d09f7bd1a6054a1f,OUTPUT,1QE7Tazy1uHD1utCb1fCW6aLF3RZ1sNwd2,46.26
200000,2012-09-22 14:45:59,e03a9a4b5c557f6ee3400a29ff1475d1df73e9cddb48c2391abdc391d8c1504a,INPUT,1DC8mbgdVFNZn7ie6wUVGegKHsqvKkN7Qn,95.0
200000,2012-09-22 14:45:59,e03a9a4b5c557f6ee3400a29ff1475d1df73e9cddb48c2391abdc391d8c1504a,OUTPUT,1HtF7xbaDwJu1j5sKpetG91xr4AZHYmJTL,94.0
200000,2012-09-22 14:45:59,e03a9a4b5c557f6ee3400a29ff1475d1df73e9cddb48c2391abdc391d8c1504a,OUTPUT,1AQHgGfYswNkput7vzGzCUUzH4wQQkWKXr,1.0
200000,2012-09-22 14:45:59,ffa0267c8f2af736858894d6f3e5081a05e2ec16dc98f78a80f376ce35077491,INPUT,1AGt1P3fhCF9MUue3dheegBZgGVHeLAtLr,373.25663465
200000,2012-09-22 14:45:59,ffa0267c8f2af736858894d6f3e5081a05e2ec16dc98f78a80f376ce35077491,OUTPUT,1D5Em12TqtZtX3LJHYiGjarKCVss4nMmGP,177.49527722
200000,2012-09-22 14:45:59,ffa0267c8f2af736858894d6f3e5081a05e2ec16dc98f78a80f376ce35077491,OUTPUT,13b9rHKTNBMdKWmoiKM8o7Gx5zkvJwZG6x,195.76135743
200000,2012-09-22 14:45:59,2674c8a46b75e5a5e3287a34d7999a1e5e6f052be36f63f3cb483ec148c9b86c,INPUT,14DeXEwWrpo7urTz76LgQpxXtF8SAQMTbe,9466.22517855
200000,2012-09-22 14:45:59,2674c8a46b75e5a5e3287a34d7999a1e5e6f052be36f63f3cb483ec148c9b86c,OUTPUT,1Fg7BsVkTk1gWnWTpgyb26Zo6NGNsx2gcQ,9458.15591855
200000,2012-09-22 14:45:59,2674c8a46b75e5a5e3287a34d7999a1e5e6f052be36f63f3cb483ec148c9b86c,OUTPUT,1Q22kYfL81iaAZZLj4epvUQ3yLv57Mgd56,8.06876
200000,2012-09-22 14:45:59,6c3c876a1711a6851d8fca2c821415efd512f59d0ef32dffb3bb4dc90b7d4fa2,INPUT,1FDiMJGGtbdcrJ1DPSJEkCJH62ETgUNBpW,12.55343673
200000,2012-09-22 14:45:59,6c3c876a1711a6851d8fca2c821415efd512f59d0ef32dffb3bb4dc90b7d4fa2,OUTPUT,13ywDQ2yFemDhCaxtE5rStkVtmrd478XNi,0.0138
200000,2012-09-22 14:45:59,6c3c876a1711a6851d8fca2c821415efd512f59d0ef32dffb3bb4dc90b7d4fa2,OUTPUT,16AYX1uEEC5nPQQGSUTQbzdrz17tzHd1JX,12.53963673
200000,2012-09-22 14:45:59,f7a0f2b9dfa73dc795ca42fc4104adaa0f8c8a268dbb9348c987ff037fcc73ae,INPUT,1Px6JvmGyhE4G72drstVRGqXUXjXnzCwhh,28238.2544155
200000,2012-09-22 14:45:59,f7a0f2b9dfa73dc795ca42fc4104adaa0f8c8a268dbb9348c987ff037fcc73ae,OUTPUT,1Nsmtp3be5agrFjswBgBbVV6iXQStRQYYp,28238.0411435
200000,2012-09-22 14:45:59,f7a0f2b9dfa73dc795ca42fc4104adaa0f8c8a268dbb9348c987ff037fcc73ae,OUTPUT,1B5PQMZRuDXPBPFxW8WBh4h2dzGiLGsTWo,0.212772
200000,2012-09-22 14:45:59,54dc90aa618ea1c300aac021399c66f5f5152848a57984a757075036e3046147,INPUT,1H2jbtknP6jRYx2riaXJf3H9Mb1JC6kcL2,0.50059358
200000,2012-09-22 14:45:59,54dc90aa618ea1c300aac021399c66f5f5152848a57984a757075036e3046147,INPUT,1Pi3bxWgjQm5XbKZcMvB7YsgBTaMst69zg,62.69538136
200000,2012-09-22 14:45:59,54dc90aa618ea1c300aac021399c66f5f5152848a57984a757075036e3046147,OUTPUT,1BnVEo1VxinSAfKSVrscoGkMzAF6amPwXj,61.92597494
200000,2012-09-22 14:45:59,54dc90aa618ea1c300aac021399c66f5f5152848a57984a757075036e3046147,OUTPUT,13ejSKUxLT9yByyr1bsLNseLbx9H9tNj2d,1.27
200000,2012-09-22 14:45:59,7fb40b4c18ca267aa5ab3a042ef8608c1f90e73ff171ce876c2d2242ed79c65d,INPUT,1BRyszipKLfwj44r85wEVRW7BUCrgofbgd,0.5944254
200000,2012-09-22 14:45:59,7fb40b4c18ca267aa5ab3a042ef8608c1f90e73ff171ce876c2d2242ed79c65d,INPUT,1BRyszipKLfwj44r85wEVRW7BUCrgofbgd,0.419
200000,2012-09-22 14:45:59,7fb40b4c18ca267aa5ab3a042ef8608c1f90e73ff171ce876c2d2242ed79c65d,OUTPUT,1KwEkdHXHnbn7JSckSFuZGsobqw473KUCd,0.0129254
200000,2012-09-22 14:45:59,7fb40b4c18ca267aa5ab3a042ef8608c1f90e73ff171ce876c2d2242ed79c65d,OUTPUT,1Ct3DZu5rMwSyvMdDvF8WtH9NEHddaQgmJ,1.0
200000,2012-09-22 14:45:59,80efe43cf64a524d1417546a027786127ad87475f3af1c13b8f3719cd4268679,INPUT,Non-standard,50.0
200000,2012-09-22 14:45:59,80efe43cf64a524d1417546a027786127ad87475f3af1c13b8f3719cd4268679,OUTPUT,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,50.0
200000,2012-09-22 14:45:59,d82b7027d21c1a5e63acd27edb7a1cb12aed957d3dda8667861d762fdbb7878f,INPUT,1LdHePxXZbEkX9cQ5S36rzdZseqVbm3V75,25.9721
200000,2012-09-22 14:45:59,d82b7027d21c1a5e63acd27edb7a1cb12aed957d3dda8667861d762fdbb7878f,INPUT,1JDhSMMb4UMwAuHXBeVLxhsCqrMGx3mCCT,1.02281297
200000,2012-09-22 14:45:59,d82b7027d21c1a5e63acd27edb7a1cb12aed957d3dda8667861d762fdbb7878f,INPUT,17v7pAm613ENhetrDU6dmTXTD9PwoEtqcq,209.33467139
200000,2012-09-22 14:45:59,d82b7027d21c1a5e63acd27edb7a1cb12aed957d3dda8667861d762fdbb7878f,INPUT,17937dWPFVnSjhZRGFiWpJR4qnUHdoEoah,3.973992
200000,2012-09-22 14:45:59,d82b7027d21c1a5e63acd27edb7a1cb12aed957d3dda8667861d762fdbb7878f,OUTPUT,18BC9oyf5W9i9zhrfqaTB2YQG7vNLvhKit,100.0
200000,2012-09-22 14:45:59,d82b7027d21c1a5e63acd27edb7a1cb12aed957d3dda8667861d762fdbb7878f,OUTPUT,1HDo4nrSsF3CQRB6p2uFBMRgsxRN1QEJ1A,140.30357636
200000,2012-09-22 14:45:59,4692b44b55a8406fd303c2bd312a8197791d52e40ed388be7849fbb0206ce11f,INPUT,12YvpGEz9tQzuANa6kRAKBnJnxoRSzyGYn,49.8591
200000,2012-09-22 14:45:59,4692b44b55a8406fd303c2bd312a8197791d52e40ed388be7849fbb0206ce11f,OUTPUT,1BCavSPoAQEuZxAe6FFqGkFHxUSBjWWKx2,0.00123457
200000,2012-09-22 14:45:59,4692b44b55a8406fd303c2bd312a8197791d52e40ed388be7849fbb0206ce11f,OUTPUT,16tkqWXWY9eBAvQzefKDsvvJdAEhg3y6g7,49.85286543
200000,2012-09-22 14:45:59,3e5d8a5b9f84638cac252401ea80d1e2ab5e61037861468868db4d91ab594c6a,INPUT,16RfzgyLjPWU7fSzgB4DbmEKXeXJngUZMR,38.81185948
200000,2012-09-22 14:45:59,3e5d8a5b9f84638cac252401ea80d1e2ab5e61037861468868db4d91ab594c6a,OUTPUT,1DuiashbzttNHZZPhJs3HJVxZjYZGMPVsF,0.0138
200000,2012-09-22 14:45:59,3e5d8a5b9f84638cac252401ea80d1e2ab5e61037861468868db4d91ab594c6a,OUTPUT,12GpNjNaEMiY9y17Z8oiEH1qVXFjdWAwt4,38.79805948
200000,2012-09-22 14:45:59,8c0268d85f130096e9ce00fe0e4da9cf3a1dd4a7609763cdeb42b6a87ee693bd,INPUT,1D6L15pkyYrn8iQFKZWTUTPsrCz1Nqt1cB,207.58101144
200000,2012-09-22 14:45:59,8c0268d85f130096e9ce00fe0e4da9cf3a1dd4a7609763cdeb42b6a87ee693bd,OUTPUT,192Jp4a3SiqWtAARSGGELmoGonSVFnzwvd,106.71558402
200000,2012-09-22 14:45:59,8c0268d85f130096e9ce00fe0e4da9cf3a1dd4a7609763cdeb42b6a87ee693bd,OUTPUT,1GudgkWiUWvnkhQdpdgzCmenx3rbVERamC,100.86542742
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1FcGiF36TcqDypMATazqd9DmdcA4aCtjiJ,0.01000483
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,10.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,18vNz8g1a2Z2DcFWRJLpDR3nEByax4L6as,15.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,4.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,11.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,56.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,19FdEgtDPhDTUWKmxUun4g16LhMni5k32G,0.56553593
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1LXTiSb6NdekLvYXtg3sEtyMZetQmGpqDR,10.01425689
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1Np62fdrCcHic4KJzaVyxyPthedLfgqfWn,11.6805
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,17tBiRDcbFsX8BxrRNGHKKj9iUrvAP27Kx,10.002168
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,6.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,12Kw24jhfum3YvvJahCHmrrCHTyyZMztJp,10.15
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,25.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1Np62fdrCcHic4KJzaVyxyPthedLfgqfWn,15.821
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1Np62fdrCcHic4KJzaVyxyPthedLfgqfWn,35.2535
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1Np62fdrCcHic4KJzaVyxyPthedLfgqfWn,34.4424
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,25.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1LJpkLYTyCpJBBdsiKavj1Qhau4rmU5S2B,311.0001
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,14f7BEAzemJTLZZueoA2FS8eoc4jBuQsN9,11.0
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,INPUT,1Np62fdrCcHic4KJzaVyxyPthedLfgqfWn,11.8
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,OUTPUT,1E84rvph1at4uuuzm87iyDHfGxoBkVUg4t,0.01000765
200000,2012-09-22 14:45:59,fa2c927ffeb2750e6c0898b5f4140df1a7fc886d4d95e8f53a58d7f713f31c10,OUTPUT,1H1r8oZmiHFYQg9774QdzWrbCCPo7HGAzo,613.729458
200000,2012-09-22 14:45:59,2d2c6ddb1c7c9e7cfa370d0d9508acd6b6fa0d6d46cbe1a972d967750946be33,INPUT,1MPZsccLaYBh6Vd7LxjbSzbemyE683ueZh,71.12
200000,2012-09-22 14:45:59,2d2c6ddb1c7c9e7cfa370d0d9508acd6b6fa0d6d46cbe1a972d967750946be33,OUTPUT,18SgySDMe35pzvjK9VUWfniN638GUv7QSJ,0.2695
200000,2012-09-22 14:45:59,2d2c6ddb1c7c9e7cfa370d0d9508acd6b6fa0d6d46cbe1a972d967750946be33,OUTPUT,1Ls2h3FfvgWDXgiyT16d63XERJDmw3vwt7,70.85
200000,2012-09-22 14:45:59,8db0730259b1aa6d66945ef2e66ce5276c2062a8cbf9fbc011d3a32df0ee64e9,INPUT,19PawzFwj7D5fu8kJJkKWtN3qjTfi9qaZF,90.0
200000,2012-09-22 14:45:59,8db0730259b1aa6d66945ef2e66ce5276c2062a8cbf9fbc011d3a32df0ee64e9,OUTPUT,1KgUBFPdSnUENHMfvBTp41FbkGNvhysmBG,89.0
200000,2012-09-22 14:45:59,8db0730259b1aa6d66945ef2e66ce5276c2062a8cbf9fbc011d3a32df0ee64e9,OUTPUT,18qXakacD8Zsz91cgKEfNhdCaDR7kyjcJs,1.0
200000,2012-09-22 14:45:59,9ec5296ae83c24de706254122409d1164ebc58666962a4578372d4cc7ffebc30,INPUT,1DTbrEFyEUeu3MFjT6eTS9sefkvsZuLF31,34.51
200000,2012-09-22 14:45:59,9ec5296ae83c24de706254122409d1164ebc58666962a4578372d4cc7ffebc30,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,13.7427
200000,2012-09-22 14:45:59,9ec5296ae83c24de706254122409d1164ebc58666962a4578372d4cc7ffebc30,INPUT,1FYCd5uCzfvnLhTjW4yeH4AYPksJDoLy77,17.1614
200000,2012-09-22 14:45:59,9ec5296ae83c24de706254122409d1164ebc58666962a4578372d4cc7ffebc30,OUTPUT,17EpsDZvhFPWGkMwrGE6VtbQH615NCXUD7,0.4141
200000,2012-09-22 14:45:59,9ec5296ae83c24de706254122409d1164ebc58666962a4578372d4cc7ffebc30,OUTPUT,18bvJLsn36BsW8dNtY1tFKuH4fdRGxQUz7,65.0
200000,2012-09-22 14:45:59,397705ab93d9d23c6ba351216ca1c18b7865072336cf0a7ac9a8e0c8f0e77d63,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,13.0984
200000,2012-09-22 14:45:59,397705ab93d9d23c6ba351216ca1c18b7865072336cf0a7ac9a8e0c8f0e77d63,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,7.40995
200000,2012-09-22 14:45:59,397705ab93d9d23c6ba351216ca1c18b7865072336cf0a7ac9a8e0c8f0e77d63,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,12.8397
200000,2012-09-22 14:45:59,397705ab93d9d23c6ba351216ca1c18b7865072336cf0a7ac9a8e0c8f0e77d63,INPUT,1N8RGuhaoPvkQX4JeG27e61GoBmvisvxfg,6.692
200000,2012-09-22 14:45:59,397705ab93d9d23c6ba351216ca1c18b7865072336cf0a7ac9a8e0c8f0e77d63,OUTPUT,1B52MsoUSWNQFcLc2zaEa9waJMDdr3Qh9L,0.04005
200000,2012-09-22 14:45:59,397705ab93d9d23c6ba351216ca1c18b7865072336cf0a7ac9a8e0c8f0e77d63,OUTPUT,15L23mj1TnFa9trXdpQ83iXrGzVd1byKUG,40.0
200000,2012-09-22 14:45:59,3b29a19067ac26f5caf09f218a79337d99eac9c8a6ee1e80c712da308d9d31c2,INPUT,1LTArGK3Ubc5bWKX8DpJuY87aQejGQWPRV,12.62960273
200000,2012-09-22 14:45:59,3b29a19067ac26f5caf09f218a79337d99eac9c8a6ee1e80c712da308d9d31c2,OUTPUT,1CwNoZ42kbGnNoMVchwj2NMfyCL9bpD32m,0.0104
200000,2012-09-22 14:45:59,3b29a19067ac26f5caf09f218a79337d99eac9c8a6ee1e80c712da308d9d31c2,OUTPUT,19PpMFpp7oFeBwNpmcGYZ9XihSLcwKt5Ne,12.61920273
200000,2012-09-22 14:45:59,c958a6a381a87db05a04d75087992c9797114311192507c80a05a72cfa85af91,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,8.44528
200000,2012-09-22 14:45:59,c958a6a381a87db05a04d75087992c9797114311192507c80a05a72cfa85af91,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,9.0886
200000,2012-09-22 14:45:59,c958a6a381a87db05a04d75087992c9797114311192507c80a05a72cfa85af91,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,7.16359
200000,2012-09-22 14:45:59,c958a6a381a87db05a04d75087992c9797114311192507c80a05a72cfa85af91,INPUT,1KZGeMJcUuAMaN2oLPTTF3X7mGiuAYeG4Y,6.05567
200000,2012-09-22 14:45:59,c958a6a381a87db05a04d75087992c9797114311192507c80a05a72cfa85af91,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,34.2603
200000,2012-09-22 14:45:59,c958a6a381a87db05a04d75087992c9797114311192507c80a05a72cfa85af91,OUTPUT,1CvaeiinjzCjypz1U4vMqV2RPxKbmg5S3U,0.01344
200000,2012-09-22 14:45:59,c958a6a381a87db05a04d75087992c9797114311192507c80a05a72cfa85af91,OUTPUT,1Ea7rtetRZiiNeAuiYt29tpsHpu739rUeS,65.0
200000,2012-09-22 14:45:59,7d5e518e7d69277c20148ce509991b5f2c292e91aa8d7ff0e0b1bca1cd858ae2,INPUT,1MPZsccLaYBh6Vd7LxjbSzbemyE683ueZh,40.0
200000,2012-09-22 14:45:59,7d5e518e7d69277c20148ce509991b5f2c292e91aa8d7ff0e0b1bca1cd858ae2,OUTPUT,1H4aG9gpZQmK7KBzPyMrKAoNn12BFizkD,35.5295
200000,2012-09-22 14:45:59,7d5e518e7d69277c20148ce509991b5f2c292e91aa8d7ff0e0b1bca1cd858ae2,OUTPUT,1DEoy4jsPLegmEKEwKTZsW1kze3QMArcts,4.47
200000,2012-09-22 14:45:59,50ef0d3f1e505648c8e54eef059cc13217761d03ac9989e8e4663e9a0b94d153,INPUT,1MPZsccLaYBh6Vd7LxjbSzbemyE683ueZh,33.44
200000,2012-09-22 14:45:59,50ef0d3f1e505648c8e54eef059cc13217761d03ac9989e8e4663e9a0b94d153,INPUT,1MPZsccLaYBh6Vd7LxjbSzbemyE683ueZh,35.03
200000,2012-09-22 14:45:59,50ef0d3f1e505648c8e54eef059cc13217761d03ac9989e8e4663e9a0b94d153,OUTPUT,1NyPFLK3wxCPjot41ichmhqWHVsqa5QKtY,23.7195
200000,2012-09-22 14:45:59,50ef0d3f1e505648c8e54eef059cc13217761d03ac9989e8e4663e9a0b94d153,OUTPUT,15AkgKBM7qDKYaFJ4asp7o6WP62yzKgKGA,44.75
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,INPUT,13dgtMtFsb84RuzKgoe7P5YExeT8uH1ke5,0.010229
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,1.8008
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,INPUT,1N8RGuhaoPvkQX4JeG27e61GoBmvisvxfg,0.7158
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,9.74526
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,INPUT,1FYCd5uCzfvnLhTjW4yeH4AYPksJDoLy77,16.3662
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,10.6682
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,INPUT,1DTbrEFyEUeu3MFjT6eTS9sefkvsZuLF31,25.70357593
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,OUTPUT,164kpAdvbZ5EtmLiNuFNR9hwbL32o6meJT,0.01006493
200000,2012-09-22 14:45:59,05e0d7232d7e90550d4f9a71bdbe7b108ff86a5b42c6a9f07d96528fa748c3ea,OUTPUT,1AMaXgtcb3mZAhPKiA2Ck21oUuoE2zePuT,65.0
200000,2012-09-22 14:45:59,8a18e832274d1b08cf2b380bbf315b6eba0608120d5c65581cc9bbfaa1621730,INPUT,1JHNSFXZ8R4C9D5qbr5BWPMR3e1CdzQ4sS,12.6485
200000,2012-09-22 14:45:59,8a18e832274d1b08cf2b380bbf315b6eba0608120d5c65581cc9bbfaa1621730,OUTPUT,1NRM78rpNocP7nLrXubNTrPUk19rVYnAvy,11.1385
200000,2012-09-22 14:45:59,8a18e832274d1b08cf2b380bbf315b6eba0608120d5c65581cc9bbfaa1621730,OUTPUT,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6,1.5
200000,2012-09-22 14:45:59,dd553690fbaaeb6d3ebc13a8c479bb12255e9403b6644e3cecb5a4b60ffad076,INPUT,1BPQhpx5R8WYZY4PJDxWznqWrwXZtCan6S,6.996
200000,2012-09-22 14:45:59,dd553690fbaaeb6d3ebc13a8c479bb12255e9403b6644e3cecb5a4b60ffad076,OUTPUT,1EWaN255MZMUuQFrh7VXvcXoFsxb4nzukU,1.0
200000,2012-09-22 14:45:59,dd553690fbaaeb6d3ebc13a8c479bb12255e9403b6644e3cecb5a4b60ffad076,OUTPUT,1BPQhpx5R8WYZY4PJDxWznqWrwXZtCan6S,5.9955
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1FYCd5uCzfvnLhTjW4yeH4AYPksJDoLy77,7.8695
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1FYCd5uCzfvnLhTjW4yeH4AYPksJDoLy77,4.14873
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,12qc2oduvtrCTPZTtkdRY4h7Taneujng6Z,3.73318
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1FYCd5uCzfvnLhTjW4yeH4AYPksJDoLy77,4.682
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,5.75029
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,0.1641
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,2.7335
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1FYCd5uCzfvnLhTjW4yeH4AYPksJDoLy77,4.93449
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1Hx8Gb6ibCAgxPZ7TY3E4Hsw1Y6HisU9YZ,9.5694
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,8.24307
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,0.371413
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1FYCd5uCzfvnLhTjW4yeH4AYPksJDoLy77,9.29538
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,INPUT,1tSyRd3kR5kXfiiERqN9BC4egPFm6tz4D,3.51498
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,OUTPUT,19tUAwAj2TueBnCSQkN3CLnknZBfsAypbf,0.010033
200000,2012-09-22 14:45:59,e0945d272561af7e19de1f5b1b37d0554a6ec7dbfa7b88f8e6d5226bc500aba5,OUTPUT,1CQk6Xta2KoLrPkPHbymqMv3z2LuC3cnvF,65.0
200000,2012-09-22 14:45:59,4b173aa0193ac77f7fae336e68ca7810aeecc4df1f72dd540a059623171f4bd9,INPUT,1Ds2ZjURWqh2zYVE9VDGACHphJRfqVoQCM,134.12134869
200000,2012-09-22 14:45:59,4b173aa0193ac77f7fae336e68ca7810aeecc4df1f72dd540a059623171f4bd9,OUTPUT,1GmKFpaqTVmsU3CtbvZ1ZYsvXzy7N9fXYa,132.99431192
200000,2012-09-22 14:45:59,4b173aa0193ac77f7fae336e68ca7810aeecc4df1f72dd540a059623171f4bd9,OUTPUT,1BH5AxSGoGAFHLA6CfoTGq4xE62cHzRDB,1.12703677
